"Random Forest","Valor p","CAR Score","Correlação Marginal","Correlação Parcial","I Score"
"SNP10","SNP10","SNP10","SNP10","SNP1000","SNP30"
"SNP1","SNP1","SNP1","SNP1","SNP196","SNP1"
"SNP30","SNP30","SNP30","SNP30","SNP967","SNP50"
"SNP20","SNP20","SNP20","SNP20","SNP543","SNP10"
"SNP50","SNP60","SNP60","SNP60","SNP223","SNP20"
"SNP60","SNP177","SNP177","SNP177","SNP365","SNP60"
"SNP530","SNP395","SNP395","SNP395","SNP813","SNP177"
"SNP580","SNP995","SNP995","SNP995","SNP834","SNP627"
"SNP937","SNP580","SNP580","SNP580","SNP800","SNP22"
"SNP917","SNP121","SNP121","SNP121","SNP869","SNP874"
"SNP462","SNP874","SNP874","SNP874","SNP732","SNP450"
"SNP738","SNP22","SNP22","SNP22","SNP977","SNP395"
"SNP359","SNP50","SNP50","SNP50","SNP838","SNP114"
"SNP809","SNP973","SNP973","SNP973","SNP700","SNP402"
"SNP133","SNP438","SNP438","SNP438","SNP303","SNP973"
"SNP850","SNP335","SNP335","SNP335","SNP691","SNP995"
"SNP223","SNP920","SNP920","SNP920","SNP467","SNP580"
"SNP197","SNP686","SNP686","SNP686","SNP494","SNP121"
"SNP572","SNP717","SNP717","SNP717","SNP44","SNP528"
"SNP86","SNP921","SNP921","SNP921","SNP281","SNP191"
